,caption,image_path,label
0,Photograph shows a family that was taken away by local epidemic prevention personnel after they had returned home from Hubei Province in February 2020 while they were asked to self-quarantine in their homes for 14 days.,images/true_0.jpg,true
1,Photograph shows Chinese officials in white protective hazmat suits carrying people down a hallway to be quarantined for having COVID-19 in November 2022.,images/true_0.jpg,miscaptioned
2,Photograph shows a family that was taken away by local epidemic prevention personnel after they had returned home from Hubei Province in February 2020 while they were asked to self-quarantine in their homes for 14 days.,images/false_0.jpg,out-of-context
3,Image shows electric scooters abandoned due to Mobike's downsizing its fleets to avoid an oversupply as the bike-sharing market falters.,images/true_1.jpg,true
4,"Image shows electric green scooters that have reached the end of their battery life. Due to the batteries being so expensive to replace, electric scooters are abandoned because disposing of them any other way is dangerous and expensive.",images/true_1.jpg,miscaptioned
5,Image shows electric scooters abandoned due to Mobike's downsizing its fleets to avoid an oversupply as the bike-sharing market falters.,images/false_1.jpg,out-of-context
6,Image shows unnamed runway model showcasing designs from Chinese designer and performance artist Sheguang Hu's collection during the Mercedes-Benz China Fashion Week.,images/true_2.jpg,true
7,Image shows Balenciaga stylist Lotta Volkova holding two baby dolls drenched in blood-colored red paint.,images/true_2.jpg,miscaptioned
8,Image shows unnamed runway model showcasing designs from Chinese designer and performance artist Sheguang Hu's collection during the Mercedes-Benz China Fashion Week.,images/false_2.jpg,out-of-context
9,A sketchfab 3D rendering of the actor Andre the Giant.,images/true_3.jpg,true
10,"3D model accurately depicting what Joseph, husband of Mary, the mother of Jesus Christ, looked like.",images/true_3.jpg,miscaptioned
11,A sketchfab 3D rendering of the actor Andre the Giant.,images/false_3.jpg,out-of-context
12,Image shows abandoned white cars in China that belong to an electric car-sharing company that was named Microcity which went bankrupt in 2019.,images/true_4.jpg,true
13,Image shows hundreds of white electric cars that were abandoned in France because the cost of replacing the batteries was too high.,images/true_4.jpg,miscaptioned
14,Image shows abandoned white cars in China that belong to an electric car-sharing company that was named Microcity which went bankrupt in 2019.,images/false_4.jpg,out-of-context
15,"Image shows athletes resting in hammocks while participating in an extreme sport called highlining, which entails walking on a thin band of rope suspended at great height.",images/true_5.jpg,true
16,Image shows campers sleeping in hammocks suspended high above ground in an activity known as sky camping.,images/true_5.jpg,miscaptioned
17,"Image shows athletes resting in hammocks while participating in an extreme sport called highlining, which entails walking on a thin band of rope suspended at great height.",images/false_5.jpg,out-of-context
18,Image shows grounds covered with garbage after the end of Glastonbury Music Festival in 2015.,images/true_6.jpg,true
19,Image shows grounds covered with garbage after Greta Thunberg's environmentalist speech at the Glastonbury Music Festival in June 2022.,images/true_6.jpg,miscaptioned
20,Image shows grounds covered with garbage after the end of Glastonbury Music Festival in 2015.,images/false_6.jpg,out-of-context
21,"A photograph captured by NASA’s Mars Curiosity Rover on May 7, 2022, showed a rock crevice on the red planet.",images/true_7.jpg,true
22,"A photograph captured by NASA’s Mars Curiosity Rover on May 7, 2022, showed an artificial portal nearby.",images/true_7.jpg,miscaptioned
23,"A photograph captured by NASA’s Mars Curiosity Rover on May 7, 2022, showed a rock crevice on the red planet.",images/false_7.jpg,out-of-context
24,"A photograph shows a sign that reads 'whites only within city limits after dark', taken from 2018 movie Green Book.",images/true_8.jpg,true
25,"A photograph shows a sign that reads 'whites only within city limits after dark', taken in a Sundown town in 2022.",images/true_8.jpg,miscaptioned
26,"A photograph shows a sign that reads 'whites only within city limits after dark', taken from 2018 movie Green Book.",images/false_8.jpg,out-of-context
27,"Image of a bus powered by compressed natural gas, bursting into flames in Italy.",images/true_9.jpg,true
